ad_id,campaign_name,audience_type,product_type,product_name,variant,date,impressions,clicks,spend_idr,sessions,add_to_cart,transaction_id,transaction_date,revenue_idr,order_status,CTR,CPC
AD_0032,Awareness Campaign,cold,Serum,DermaGlow Brightening Serum,Video_Review,2023-01-06,8060,253,458896.0,216,29,,,,,0.03138957816377171,1813.8181818181818
AD_0110,Awareness Campaign,cold,Sunscreen,DermaGlow UV Shield Sunscreen,Video_Review,2023-09-01,17314,542,108070.0,452,72,,,,,0.031304146933117706,199.39114391143912
AD_0137,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-04-13,16374,180,135435.0,146,8,TXN_001630,2023-04-14,231000.0,Success,0.010993037742762916,752.4166666666666
AD_0137,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-04-13,16374,180,135435.0,146,8,TXN_001628,2023-04-13,279000.0,Success,0.010993037742762916,752.4166666666666
AD_0137,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-04-13,16374,180,135435.0,146,8,TXN_001629,2023-04-16,427000.0,Success,0.010993037742762916,752.4166666666666
AD_0137,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-04-13,16374,180,135435.0,146,8,TXN_001627,2023-04-15,92000.0,Success,0.010993037742762916,752.4166666666666
AD_0137,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-04-13,16374,180,135435.0,146,8,TXN_001634,2023-04-15,269000.0,Success,0.010993037742762916,752.4166666666666
AD_0137,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-04-13,16374,180,135435.0,146,8,TXN_001631,2023-04-16,271000.0,Success,0.010993037742762916,752.4166666666666
AD_0137,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-04-13,16374,180,135435.0,146,8,TXN_001636,2023-04-15,336000.0,Success,0.010993037742762916,752.4166666666666
AD_0137,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-04-13,16374,180,135435.0,146,8,TXN_001635,2023-04-13,430000.0,Success,0.010993037742762916,752.4166666666666
AD_0089,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-11-14,10735,159,244118.0,128,6,TXN_001674,2023-11-17,432000.0,Success,0.014811364694923149,1535.3333333333333
AD_0089,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-11-14,10735,159,244118.0,128,6,TXN_001675,2023-11-17,147000.0,Success,0.014811364694923149,1535.3333333333333
AD_0089,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-11-14,10735,159,244118.0,128,6,TXN_000600,2023-11-16,170000.0,Success,0.014811364694923149,1535.3333333333333
AD_0089,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-11-14,10735,159,244118.0,128,6,TXN_000597,2023-11-16,75000.0,Success,0.014811364694923149,1535.3333333333333
AD_0089,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-11-14,10735,159,244118.0,128,6,TXN_000599,2023-11-15,379000.0,Success,0.014811364694923149,1535.3333333333333
AD_0089,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-11-14,10735,159,244118.0,128,6,TXN_000596,2023-11-15,122000.0,Success,0.014811364694923149,1535.3333333333333
AD_0089,Retargeting Campaign,warm,Sunscreen,DermaGlow UV Shield Sunscreen,Static_Catalog,2023-11-14,10735,159,244118.0,128,6,TXN_000601,2023-11-16,419000.0,Success,0.014811364694923149,1535.3333333333333
AD_0919,Flash Sale Campaign,cold,Cleanser,DermaGlow Gentle Cleanser,Video_Review,2023-04-15,12446,268,307440.0,217,36,TXN_002121,2023-04-17,543000.0,Success,0.02153302265788205,1147.1641791044776
AD_0169,Flash Sale Campaign,cold,Serum,DermaGlow Brightening Serum,Video_Review,2023-03-29,13731,443,269631.0,355,43,TXN_002197,2023-03-31,521000.0,Success,0.0322627630908164,608.6478555304741
AD_0169,Flash Sale Campaign,cold,Serum,DermaGlow Brightening Serum,Video_Review,2023-03-29,13731,443,269631.0,355,43,TXN_002194,2023-03-30,297000.0,Success,0.0322627630908164,608.6478555304741
